city_name,temperature,feels_like,pressure,wind_speed,humidity,weather_description,collection_time,federal_district,timezone,population,season,comfort,recommended_activity,comfort_index,tourist_season_match
Санкт-Петербург,20,20,1021 мм рт.ст.,7 м/c,71%,ясно,2025-09-14T15:27:17.559040,СЗФО,+2,3000000,Лето,5,Морские прогулки,84.0,False
Сочи,25,25,1019 мм рт.ст.,2.85 м/c,61%,ясно,2025-09-14T15:27:22.704132,ЮФО,+2,560000,Весна,9,Море,83.15,False
Новосибирск,14,13,1030 мм рт.ст.,2 м/c,58%,ясно,2025-09-14T15:27:32.949492,СФО,+6,1000000,Зима,6,Прогулки по городу,70.0,False
Москва,20,19,1032 мм рт.ст.,2.86 м/c,41%,пасмурно,2025-09-14T15:27:12.423023,ЦФО,+2,15000000,Круглогодично,8,Достопримечательности,58.14,False
